E sigma
121633 8.8455
121634 9.1238
121635 9.2941
121636 9.45
121637 9.5322
121638 9.5429
121639 9.5134
121640 9.4061
121642 9.2139
121643 9.0076
121644 8.7019
121645 8.3789
121646 7.9618
121647 7.41
121649 6.6687
121653 4.8714
121655 4.3069
121656 3.8358
121657 3.4788
121658 3.1086
121659 2.7783
121660 2.5715
121660 2.3758
121661 2.1909
121662 2.0172
121662 1.8543
121663 1.7022
121664 1.5647
121664 1.437
121665 1.3183
121666 1.2085
121666 1.107
121667 1.0134
121668 0.92735
121668 0.84859
121669 0.77631
121670 0.71047
121670 0.66988
121671 0.62512
121671 0.58367
121672 0.54523
121672 0.50971
121673 0.47679
121673 0.44643
121674 0.41838
121674 0.39255
121675 0.36866
121675 0.3467
121676 0.32647
121676 0.30788
121677 0.29073
121677 0.27499
121678 0.2605
121679 0.24246
121679 0.22917
121680 0.21706
121680 0.20604
121681 0.19925
121681 0.18685
121682 0.17586
121683 0.16611
121684 0.15744
121684 0.14972
121685 0.14279
121686 0.13658
121687 0.13099
121688 0.12359
121689 0.11718
121690 0.11157
121692 0.1056
121693 0.099976
121695 0.095097
121696 0.090803
121698 0.086995
121700 0.082522
121702 0.078612
121704 0.075161
121706 0.07209
121708 0.069339
121711 0.065713
121714 0.062582
121717 0.059856
121720 0.057464
121724 0.055353
121727 0.053126
121731 0.05118
121735 0.049468
121740 0.047259
121746 0.045398
121751 0.043811
121757 0.042354
121761 0.041472
121769 0.039952
121778 0.038691
121786 0.037632
121797 0.03641
121809 0.035417
121820 0.034596
121832 0.033906
121848 0.03313
121871 0.032216
121894 0.031507
121931 0.030656
121968 0.030012
122018 0.029341
122094 0.028575
122197 0.027804
122295 0.027229
122452 0.026529
122602 0.026058
122719 0.025806
122884 0.02563
122917 0.025619
123033 0.025652
123149 0.025795
123264 0.026052
123379 0.02643
123494 0.026935
123609 0.027576
123732 0.028427
123855 0.029446
123979 0.030665
124102 0.032074
124225 0.033712
124348 0.035569
124471 0.037689
124594 0.04006
124718 0.042734
124841 0.045698
124965 0.049053
125050 0.051541
125135 0.054208
125220 0.057063
125305 0.060114
125390 0.063374
125475 0.066853
125560 0.070563
125645 0.074516
125730 0.078727
125815 0.083208
125900 0.087975
125985 0.093045
126070 0.098433
126155 0.10416
126240 0.11024
126325 0.1167
126410 0.12356
126495 0.13085
126580 0.13858
126665 0.14679
126750 0.1555
126835 0.16475
126920 0.17457
127005 0.18499
127090 0.19606
127175 0.20781
127260 0.22029
127345 0.23354
127430 0.24762
127515 0.26258
127600 0.27849
127697 0.29791
127806 0.32109
127914 0.34637
128023 0.37377
128131 0.40347
128240 0.43568
128348 0.47065
128457 0.50867
128563 0.5493
128668 0.59269
128773 0.63984
128878 0.69115
128976 0.74337
129068 0.79622
129164 0.85594
129258 0.91911
129366 0.9978
129482 1.0911
129519 1.1227
129526 1.1338
129531 1.1455
129534 1.1596
129538 1.1819
129542 1.2116
129552 1.3033
129555 1.3286
129559 1.3423
129561 1.3458
129564 1.3403
129568 1.3245
129575 1.2769
129579 1.2504
129582 1.2308
129586 1.2165
129590 1.2084
129597 1.2047
129610 1.2123
129667 1.2663
129768 1.3716
129856 1.4737
129955 1.5973
130032 1.7036
