E sigma
444.49 42.615
444.538 44.474
444.582 45.899
444.627 47.068
444.672 47.916
444.709 48.363
444.754 48.587
444.763 48.589
444.797 48.473
444.844 47.984
444.892 47.118
444.945 45.782
444.988 44.391
445.032 42.782
445.098 40.042
445.177 36.348
445.339 28.529
445.391 26.132
445.443 23.858
445.497 21.626
445.538 20.074
445.579 18.632
445.62 17.304
445.661 16.088
445.702 14.982
445.743 13.983
445.784 13.084
445.825 12.281
445.866 11.566
445.905 10.961
445.943 10.436
445.98 9.9678
446.018 9.5516
446.056 9.1815
446.107 8.7513
446.157 8.3834
446.208 8.068
446.258 7.7967
446.318 7.5244
446.386 7.2616
446.454 7.0411
446.522 6.8537
446.625 6.6196
446.693 6.4875
446.829 6.2652
446.966 6.0839
447.102 5.9319
447.307 5.7438
447.491 5.6042
447.723 5.4576
448.072 5.2807
448.44 5.1318
448.85 4.9977
449.396 4.8526
450.092 4.703
450.788 4.5775
452.126 4.3711
454.546 4.023
455.497 3.8721
456.369 3.7161
456.993 3.5884
457.557 3.4563
458.122 3.3016
458.508 3.1774
458.805 3.0676
459.102 2.9409
459.34 2.8235
459.578 2.6893
459.885 2.5062
459.984 2.4598
460.058 2.4379
460.108 2.4326
460.154 2.4369
460.198 2.451
460.241 2.4769
460.285 2.5168
460.328 2.5732
460.372 2.6484
460.405 2.7188
460.437 2.8024
460.47 2.9002
460.507 3.0281
460.545 3.1852
460.584 3.3664
460.623 3.5728
460.661 3.8051
460.687 3.9746
460.727 4.2582
460.766 4.5688
